,name,pp_percentage
624,glance,0.0
625,glance-specs,0.0
626,glance_store,0.0
627,gnocchi,0.0
628,goal-tools,0.0
629,governance,0.0
630,governance-sigs,0.0
631,governance-uc,0.0
632,governance-website,0.0
633,ha-guide,0.0
634,heat,0.0
635,heat-agents,0.0
636,heat-cfntools,0.0
637,heat-dashboard,0.0
638,heat-specs,0.0
639,heat-tempest-plugin,0.0
640,heat-templates,0.0
641,heat-translator,0.0
642,horizon,0.0
643,horizon-cisco-ui,0.0
644,i18n,0.0
645,i18n-specs,0.0
646,instack,0.0
647,instack-undercloud,0.0
648,installguide-cookiecutter,0.0
649,ironic,0.0
650,ironic-inspector,0.0
651,ironic-inspector-specs,0.0
652,ironic-lib,0.0
653,ironic-python-agent,0.0
654,ironic-python-agent-builder,0.0
655,ironic-specs,0.0
656,ironic-tempest-plugin,0.0
657,ironic-ui,0.0
658,ironic-webclient,0.0
659,js-openstack-lib,0.0
660,karbor,0.0
661,karbor-dashboard,0.0
662,karma-subunit-reporter,0.0
663,kayobe,0.0
664,kayobe-config,0.0
665,kayobe-config-dev,0.0
666,keystone,0.0
667,keystone-specs,0.0
668,keystone-tempest-plugin,0.0
669,keystoneauth,0.0
670,keystoneauth-saml2,0.0
671,keystonemiddleware,0.0
672,kolla,0.0
673,kolla-ansible,0.0
674,kolla-cli,0.0
675,kolla-kubernetes,0.0
676,kuryr,0.0
677,kuryr-kubernetes,0.0
678,kuryr-libnetwork,0.0
679,kuryr-tempest-plugin,0.0
680,ldappool,0.0
681,liberasurecode,0.0
682,loci,0.0
683,magnetodb,0.0
684,magnetodb-specs,0.0
685,magnum,0.0
686,magnum-specs,0.0
687,magnum-tempest-plugin,0.0
688,magnum-ui,0.0
689,manila,0.0
690,manila-image-elements,0.0
691,manila-specs,0.0
692,manila-tempest-plugin,0.0
693,manila-test-image,0.0
694,manila-ui,0.0
695,masakari,0.0
696,masakari-dashboard,0.0
697,masakari-monitors,0.0
698,masakari-specs,0.0
699,metalsmith,0.0
700,microversion-parse,0.0
701,mistral,0.0
702,mistral-dashboard,0.0
703,mistral-extra,0.0
704,mistral-lib,0.0
705,mistral-specs,0.0
706,mistral-tempest-plugin,0.0
707,molteniron,0.0
708,monasca-agent,0.0
709,monasca-analytics,0.0
710,monasca-api,0.0
711,monasca-ceilometer,0.0
712,monasca-common,0.0
713,monasca-events-api,0.0
714,monasca-grafana-datasource,0.0
715,monasca-kibana-plugin,0.0
716,monasca-log-api,0.0
717,monasca-notification,0.0
718,monasca-persister,0.0
719,monasca-specs,0.0
720,monasca-statsd,0.0
721,monasca-tempest-plugin,0.0
722,monasca-thresh,0.0
723,monasca-transform,0.0
724,monasca-ui,0.0
725,mox3,0.0
726,murano,0.0
727,murano-agent,0.0
728,murano-apps,0.0
729,murano-dashboard,0.0
730,murano-deployment,0.0
731,murano-pkg-check,0.0
732,murano-specs,0.0
733,murano-tempest-plugin,0.0
734,networking-bagpipe,0.0
735,networking-baremetal,0.0
736,networking-bgpvpn,0.0
737,networking-calico,0.0
738,networking-generic-switch,0.0
739,networking-generic-switch-tempest-plugin,0.0
740,networking-hyperv,0.0
741,networking-l2gw,0.0
742,networking-l2gw-tempest-plugin,0.0
743,networking-midonet,0.0
744,networking-odl,0.0
745,networking-ofagent,0.0
746,networking-onos,0.0
747,networking-ovn,0.0
748,networking-powervm,0.0
749,networking-sfc,0.0
750,neutron,0.0
751,neutron-dynamic-routing,0.0
752,neutron-fwaas,0.0
753,neutron-fwaas-dashboard,0.0
754,neutron-interconnection,0.0
755,neutron-lbaas,0.0
756,neutron-lbaas-dashboard,0.0
757,neutron-lib,0.0
758,neutron-specs,0.0
759,neutron-tempest-plugin,0.0
760,neutron-vpnaas,0.0
761,neutron-vpnaas-dashboard,0.0
762,nova,0.0
763,nova-powervm,0.0
764,nova-specs,0.0
765,octavia,0.0
766,octavia-dashboard,0.0
767,octavia-lib,0.0
768,octavia-tempest-plugin,0.0
769,openstack,0.0
770,openstack-ansible,0.0
771,openstack-ansible-apt_package_pinning,0.0
772,openstack-ansible-ceph_client,0.0
