,name,c2,files,pp_files,forked,c3,no_commits,month_diff,first_commit,last_commit
199,cvp-shaker,0.0,41,0,0,0.28,7,25,2019-02-05,2021-02-24
200,netshoot,0.0,0,0,1,1.89,66,35,2016-08-23,2019-07-19
201,k8srnd-sockshop-carts,0.0,62,0,0,4.1,86,21,2016-08-10,2018-04-27
202,k8srnd-sockshop-catalogue,0.0,63,0,0,4.05,89,22,2016-08-10,2018-06-08
203,k8srnd-sockshop-front-end,0.0,146,0,0,4.18,205,49,2016-08-10,2020-09-07
204,k8srnd-sockshop-orders,0.0,54,0,0,5.62,90,16,2016-08-10,2017-11-21
205,k8srnd-sockshop-payment,0.0,33,0,0,3.86,81,21,2016-08-10,2018-04-27
206,k8srnd-sockshop-queue-master,0.0,37,0,0,2.5,40,16,2016-08-08,2017-11-21
207,k8srnd-sockshop-shipping,0.0,33,0,0,2.64,58,22,2016-08-10,2018-05-23
208,k8srnd-sockshop-user,0.0,46,0,0,6.1,244,40,2016-08-09,2019-11-11
209,cna-images,0.0,6,0,0,0.5,3,6,2019-11-26,2020-05-06
210,testme,0.0,0,0,1,1.0,1,1,2020-01-06,2020-01-06
211,magma,0.0,0,0,1,289.75,9272,32,2019-02-23,2021-10-06
212,magma-argocd-apps,0.0,35,0,0,13.4,67,5,2020-01-20,2020-05-24
213,release-openstack-k8s,0.0,70,0,0,10.85,369,34,2020-01-29,2022-11-23
214,trailer,0.0,522,0,0,0.71,15,21,2018-06-01,2020-02-25
215,mcc-salesforce-collector,0.0,0,0,1,0.0,0,1,0,0
216,openstack-k8s-virtual-lab,0.0,21,0,0,2.33,7,3,2020-05-05,2020-07-30
217,atsea-sample-shop-app,0.0,238,0,0,1.21,46,38,2017-04-20,2020-06-05
218,launchpad,0.0,114,0,0,2.41,65,27,2020-05-25,2022-08-08
219,vol-test,0.0,0,0,1,0.0,0,1,0,0
220,cli,0.0,0,0,1,78.44,6903,88,2013-02-14,2020-06-09
221,libkv,0.0,0,0,1,3.42,311,91,2015-05-12,2022-11-25
222,compose-on-kubernetes,0.0,0,0,1,18.5,222,12,2018-12-04,2019-11-07
223,libnetwork,0.0,1848,0,0,41.98,2771,66,2015-02-20,2020-07-22
224,container-cloud-cli,0.0,3,0,0,4.0,4,1,2020-09-04,2020-09-14
225,lens-extension-cc,0.0,194,0,0,55.76,1394,25,2020-11-03,2022-11-28
226,helm-charts,0.0,15,0,0,9.0,9,1,2020-11-25,2020-11-27
227,cri-dockerd,0.0,4736,0,0,12.95,958,74,2016-07-28,2022-09-25
228,prodsec,0.0,0,0,1,0.0,0,1,0,0
229,oscalkit,0.0,0,0,1,2.3,85,37,2018-04-13,2021-04-19
230,security,0.0,18,0,0,6.0,30,5,2021-11-01,2022-03-31
231,mcc-on-equinix-terraform-templates,0.0,36,0,0,2.54,33,13,2021-10-15,2022-11-11
232,mosk-triliovault,0.0,40,0,0,1.0,1,1,2022-03-09,2022-03-09
233,mcc-api,0.0,3460,0,0,1.33,4,3,2022-04-20,2022-06-22
234,openstack-refapp,0.0,29,0,0,1.17,35,30,2020-03-31,2022-09-23
